Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT (min),Avg CTAT (min),Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance (km),Driver Ratings,Customer Rating
2025-07-17,17:10:58,BLR202507-000016,Cancelled by Driver,CUST-941814,Bike,Harlur,Basavanagudi,,,0,,1,Personal & Car related issues,0,,,,,
2025-07-10,03:31:06,BLR202507-000017,Success,CUST-783176,Prime Plus,Bellandur,Shivajinagar,7,21,0,,0,,0,,300,9.6,3.9,4.98
2025-07-03,09:47:02,BLR202507-000018,Cancelled by Customer,CUST-200617,Prime Plus,Devanahalli,Yeshwanthpur,,,1,AC is not working (Only for 4-wheelers),0,,0,,,,,
2025-07-01,21:29:33,BLR202507-000019,Success,CUST-757386,Auto,Yelahanka,Horamavu,10,19,0,,0,,0,,284.14,18.51,4.83,4.7
2025-07-21,19:36:32,BLR202507-000020,Incomplete,CUST-911159,Prime Plus,Mahadevapura,Kadubeesanahalli,,,0,,0,,1,Customer Demand,,,,
2025-07-07,02:15:10,BLR202507-000021,Success,CUST-663876,Prime SUV,Hoodi,Manyata Tech Park,5,10,0,,0,,0,,582.96,18.32,4.19,4.3
2025-07-25,00:03:26,BLR202507-000022,Incomplete,CUST-556379,eBike,Electronic City,Manyata Tech Park,,,0,,0,,1,Other Issue,,,,
2025-07-05,06:30:19,BLR202507-000023,Success,CUST-124906,Mini,Thanisandra,Sarjapur Road,5,16,0,,0,,0,,263.38,12.41,5,4.8
2025-07-02,22:19:16,BLR202507-000024,Success,CUST-191772,Auto,Whitefield,Malleshwaram,9,20,0,,0,,0,,176.9,10.85,4.18,4.86
2025-07-26,17:23:43,BLR202507-000025,Cancelled by Driver,CUST-364144,Bike,Electronic City,Nagarbhavi,,,0,,1,Customer related issue,0,,,,,
2025-07-30,22:42:14,BLR202507-000026,Success,CUST-371212,Mini,CV Raman Nagar,Harlur,13,20,0,,0,,0,,127.66,4.87,4.87,4.72
2025-07-21,19:12:43,BLR202507-000027,Cancelled by Driver,CUST-524094,Mini,Bellandur,Koramangala,,,0,,1,More than permitted people in there,0,,,,,
2025-07-22,07:12:19,BLR202507-000028,Success,CUST-224052,Bike,Indiranagar,Kalyan Nagar,7,16,0,,0,,0,,240.1,22.51,4.22,4.49
2025-07-24,18:34:02,BLR202507-000029,Success,CUST-748386,Auto,Sarjapur,Manyata Tech Park,11,19,0,,0,,0,,173.18,9.46,4.55,4.16
2025-07-19,01:02:28,BLR202507-000030,Success,CUST-147727,eBike,Electronic City,Domlur,2,7,0,,0,,0,,79.23,7.47,4.23,4.42
2025-07-30,16:58:07,BLR202507-000031,Success,CUST-627262,Auto,BTM Layout,Mahadevapura,10,23,0,,0,,0,,174.66,10.69,4.49,4.59
2025-07-10,23:06:51,BLR202507-000032,Cancelled by Driver,CUST-736030,Auto,BTM Layout,Sarjapur,,,0,,1,More than permitted people in there,0,,,,,
2025-07-13,14:38:53,BLR202507-000033,Success,CUST-514306,Prime SUV,Horamavu,Koramangala,9,15,0,,0,,0,,576.52,18.09,4.32,4.57
2025-07-16,10:43:43,BLR202507-000034,Success,CUST-263917,Bike,RT Nagar,JP Nagar,2,5,0,,0,,0,,90.75,6.75,4.64,4.6
2025-07-24,17:42:14,BLR202507-000035,Cancelled by Customer,CUST-509985,Prime SUV,Yeshwanthpur,BTM Layout,,,1,Driver asked to cancel,0,,0,,,,,
2025-07-10,19:34:27,BLR202507-000036,Cancelled by Customer,CUST-810189,Prime SUV,Nagawara,Kalyan Nagar,,,1,Change of plans,0,,0,,,,,
2025-07-31,14:37:42,BLR202507-000037,Success,CUST-111691,Bike,Peenya,Banashankari,4,14,0,,0,,0,,82,6.7,4.18,5
2025-07-04,14:28:03,BLR202507-000038,Success,CUST-143802,Auto,Nagarbhavi,Uttarahalli,4,14,0,,0,,0,,172.98,10.57,4.7,4.79
2025-07-13,11:41:47,BLR202507-000039,Success,CUST-663244,Bike,Marathahalli,Silk Board,4,12,0,,0,,0,,230.4,17.7,4.06,4.36
2025-07-07,09:39:14,BLR202507-000040,Success,CUST-884645,eBike,Nagawara,Domlur,8,13,0,,0,,0,,105.96,9.37,4.44,4.82
2025-07-07,03:05:11,BLR202507-000041,Success,CUST-532699,eBike,Shivajinagar,Banashankari,2,13,0,,0,,0,,45.48,3.72,4.83,4.17
2025-07-06,04:32:51,BLR202507-000042,Success,CUST-292930,Prime Plus,Kanakapura Road,Benson Town,14,19,0,,0,,0,,230,6.8,4.6,4.87
2025-07-07,11:56:56,BLR202507-000043,Cancelled by Driver,CUST-220190,Prime Plus,Horamavu,Nagarbhavi,,,0,,1,Personal & Car related issues,0,,,,,
2025-07-28,02:03:20,BLR202507-000044,Cancelled by Customer,CUST-887524,Bike,Arekere,Kalyan Nagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-07-10,11:50:42,BLR202507-000045,Success,CUST-804313,Auto,Benson Town,HSR Layout,5,13,0,,0,,0,,387.62,22.29,4.23,4.68
2025-07-07,09:05:11,BLR202507-000046,Success,CUST-860835,Bike,Basavanagudi,Sarjapur Road,5,13,0,,0,,0,,213.44,17.06,4.73,4.54
2025-07-12,00:36:40,BLR202507-000047,Success,CUST-234443,eBike,Kalyan Nagar,Frazer Town,6,10,0,,0,,0,,55.74,4.86,5,4.77
2025-07-04,16:58:55,BLR202507-000048,Cancelled by Customer,CUST-398987,Bike,Electronic City,Hebbal,,,1,Change of plans,0,,0,,,,,
2025-07-16,13:55:08,BLR202507-000049,Success,CUST-572536,Prime Sedan,Kanakapura Road,Horamavu,11,19,0,,0,,0,,447.98,18.09,4.2,4.2
2025-07-10,01:06:27,BLR202507-000050,Success,CUST-827143,Bike,Banashankari,Nagarbhavi,9,19,0,,0,,0,,228.8,21.38,4.83,5
2025-07-19,19:28:11,BLR202507-000051,Success,CUST-482199,Prime SUV,Bellandur,Kadubeesanahalli,13,20,0,,0,,0,,578.12,16.27,4.63,4.62
2025-07-06,20:38:10,BLR202507-000052,Cancelled by Customer,CUST-105066,Prime Sedan,Frazer Town,RT Nagar,,,1,Wrong Address,0,,0,,,,,
2025-07-09,21:10:13,BLR202507-000053,Success,CUST-980919,Prime Sedan,JP Nagar,Mahadevapura,10,16,0,,0,,0,,256.8,9.4,5,5
2025-07-24,01:33:20,BLR202507-000054,Success,CUST-447668,Mini,Arekere,Harlur,7,14,0,,0,,0,,305.14,14.73,4.5,4.67
2025-07-12,23:03:09,BLR202507-000055,Success,CUST-912402,Prime Sedan,Basavanagudi,Peenya,7,17,0,,0,,0,,267.36,9.88,4.69,4.57
2025-07-04,18:23:55,BLR202507-000056,Success,CUST-284308,eBike,Uttarahalli,Marathahalli,2,8,0,,0,,0,,93.09,8.07,4.32,4.9
2025-07-27,07:24:01,BLR202507-000057,Success,CUST-394247,Prime SUV,JP Nagar,Yeshwanthpur,11,25,0,,0,,0,,727.16,23.47,4.75,5
2025-07-07,10:10:31,BLR202507-000058,Incomplete,CUST-376021,eBike,Hennur,Electronic City,,,0,,0,,1,Other Issue,,,,
2025-07-03,20:16:31,BLR202507-000059,Success,CUST-119535,Prime SUV,Shivajinagar,Hennur,8,19,0,,0,,0,,220.89,4.36,4.64,4.8
2025-07-01,21:41:09,BLR202507-000060,Success,CUST-952117,Bike,Kengeri,Kundalahalli,9,18,0,,0,,0,,95.5,8.05,4.71,4.78
2025-07-25,08:13:12,BLR202507-000061,Success,CUST-718697,Prime Plus,MG Road,Peenya,10,24,0,,0,,0,,101.2,1.12,4.28,4.56
2025-07-09,15:29:26,BLR202507-000062,Incomplete,CUST-669868,Bike,Bommanahalli,Kalyan Nagar,,,0,,0,,1,Customer Demand,,,,
2025-07-12,03:43:23,BLR202507-000063,Incomplete,CUST-511564,Prime Plus,Devanahalli,Kengeri,,,0,,0,,1,Other Issue,,,,
2025-07-28,08:54:57,BLR202507-000064,Cancelled by Customer,CUST-405134,Prime Plus,Arekere,Shivajinagar,,,1,AC is not working (Only for 4-wheelers),0,,0,,,,,
2025-07-03,21:50:57,BLR202507-000065,Cancelled by Driver,CUST-516059,Prime Sedan,Shivajinagar,Indiranagar,,,0,,1,Customer related issue,0,,,,,
2025-07-28,03:02:46,BLR202507-000066,Success,CUST-945718,Bike,Mahadevapura,Rajajinagar,8,16,0,,0,,0,,103.8,8.88,4.56,4.65
2025-07-25,08:37:04,BLR202507-000067,Cancelled by Customer,CUST-639111,Prime Plus,Harlur,Rajajinagar,,,1,Driver asked to cancel,0,,0,,,,,
2025-07-19,19:31:53,BLR202507-000068,Cancelled by Driver,CUST-693297,eBike,Banashankari,Manyata Tech Park,,,0,,1,More than permitted people in there,0,,,,,
2025-07-31,14:43:26,BLR202507-000069,Success,CUST-476224,Auto,RT Nagar,Sarjapur,8,17,0,,0,,0,,214.42,13.53,4.21,4.84
2025-07-16,15:00:21,BLR202507-000070,Success,CUST-343007,Auto,Benson Town,KR Puram,6,13,0,,0,,0,,253.2,16.3,3.69,4.67
2025-07-08,20:30:47,BLR202507-000071,Success,CUST-144887,eBike,Yelahanka,Sadashivanagar,8,13,0,,0,,0,,127.45,11.54,4.7,4.9
2025-07-30,20:45:40,BLR202507-000072,Success,CUST-929906,Prime Sedan,CV Raman Nagar,Bommanahalli,3,17,0,,0,,0,,610.87,22.97,4.37,4.53
2025-07-30,05:34:16,BLR202507-000073,Cancelled by Driver,CUST-576728,Auto,MG Road,Kalyan Nagar,,,0,,1,The customer was coughing/sick,0,,,,,
2025-07-04,12:39:03,BLR202507-000074,Success,CUST-837920,Bike,Hennur,Ulsoor,6,13,0,,0,,0,,178.2,16.32,5,4.68
2025-07-27,04:42:44,BLR202507-000075,Success,CUST-877948,Prime Sedan,Kengeri,Yeshwanthpur,8,19,0,,0,,0,,97.3,2.15,4.03,4.68
2025-07-19,20:13:09,BLR202507-000076,Cancelled by Driver,CUST-282294,Mini,Kalyan Nagar,CV Raman Nagar,,,0,,1,The customer was coughing/sick,0,,,,,
2025-07-19,23:31:04,BLR202507-000077,Cancelled by Driver,CUST-785073,Prime SUV,Electronic City,Sadashivanagar,,,0,,1,The customer was coughing/sick,0,,,,,
2025-07-13,17:03:09,BLR202507-000078,Incomplete,CUST-333726,Bike,Kundalahalli,Domlur,,,0,,0,,1,Vehicle Breakdown,,,,
2025-07-16,02:37:15,BLR202507-000079,Cancelled by Customer,CUST-931161,Mini,Uttarahalli,Indiranagar,,,1,AC is not working (Only for 4-wheelers),0,,0,,,,,
2025-07-29,15:05:40,BLR202507-000080,Success,CUST-245718,Mini,Rajajinagar,RT Nagar,3,11,0,,0,,0,,133.78,5.21,4.28,4.98
2025-07-03,15:42:53,BLR202507-000081,Success,CUST-639535,eBike,Ulsoor,Yelahanka,7,14,0,,0,,0,,107.04,10.56,5,5
2025-07-05,18:59:45,BLR202507-000082,Success,CUST-295984,Prime Plus,KR Puram,Uttarahalli,6,20,0,,0,,0,,529.57,16.02,4.66,4.92
2025-07-23,01:16:51,BLR202507-000083,Success,CUST-956639,Auto,Horamavu,RT Nagar,10,21,0,,0,,0,,356.24,23.66,4.64,4.92
2025-07-14,18:26:27,BLR202507-000084,Incomplete,CUST-950576,Prime Sedan,Nagawara,Jayanagar,,,0,,0,,1,Vehicle Breakdown,,,,
2025-07-22,05:01:11,BLR202507-000085,Cancelled by Customer,CUST-602073,Mini,Yelahanka,Kengeri,,,1,Driver asked to cancel,0,,0,,,,,
2025-07-21,16:27:55,BLR202507-000086,Success,CUST-973846,Mini,Koramangala,Frazer Town,4,11,0,,0,,0,,335.92,16.44,5,3.92
2025-07-02,10:38:24,BLR202507-000087,Success,CUST-234097,Bike,Kengeri,Rajajinagar,9,13,0,,0,,0,,39.56,1.94,4.99,4.15
2025-07-05,04:15:05,BLR202507-000088,Success,CUST-760120,Bike,MG Road,Nagarbhavi,3,7,0,,0,,0,,87.6,7.26,5,4.59
2025-07-05,10:41:53,BLR202507-000089,Incomplete,CUST-158627,Prime Plus,Benson Town,Malleshwaram,,,0,,0,,1,Other Issue,,,,
2025-07-31,07:14:52,BLR202507-000090,Success,CUST-525151,Bike,Nagarbhavi,Hennur,4,14,0,,0,,0,,201.4,18.64,4.25,4.91
2025-07-01,12:20:25,BLR202507-000091,Success,CUST-854500,eBike,Horamavu,BTM Layout,6,17,0,,0,,0,,143.76,14.64,5,4.78
2025-07-31,04:59:15,BLR202507-000092,Success,CUST-189913,Prime Plus,Harlur,Uttarahalli,4,9,0,,0,,0,,550.75,19.63,4.72,4.53
2025-07-16,17:04:36,BLR202507-000093,Success,CUST-605065,Prime Plus,RT Nagar,Brookefield,14,19,0,,0,,0,,566.95,17.32,4.25,4.13
2025-07-20,03:59:57,BLR202507-000094,Success,CUST-249644,Prime SUV,Kengeri,Devanahalli,6,19,0,,0,,0,,313.04,8.68,4.4,4.9
2025-07-06,04:39:39,BLR202507-000095,Success,CUST-753484,eBike,Shivajinagar,Benson Town,6,17,0,,0,,0,,203.97,21.33,4.66,4.56
2025-07-06,14:25:34,BLR202507-000096,Success,CUST-859364,eBike,Sarjapur Road,Arekere,9,15,0,,0,,0,,144.84,14.76,4.17,5
2025-07-20,03:05:30,BLR202507-000097,Success,CUST-719284,Auto,RT Nagar,CV Raman Nagar,7,15,0,,0,,0,,356.94,23.71,4.36,4.69
2025-07-13,05:59:05,BLR202507-000098,Success,CUST-238635,Auto,Koramangala,Hebbal,12,23,0,,0,,0,,373.6,24.9,5,4.74
2025-07-17,20:04:27,BLR202507-000099,Success,CUST-628859,eBike,Brookefield,Banashankari,2,5,0,,0,,0,,47.16,3.43,4.33,4.67
2025-07-20,05:17:45,BLR202507-000100,Success,CUST-200976,Prime Plus,Bommanahalli,Kanakapura Road,4,13,0,,0,,0,,393,13.32,4.68,4.09
2025-07-20,11:45:48,BLR202507-000101,Success,CUST-140932,Prime SUV,Yeshwanthpur,Shivajinagar,3,13,0,,0,,0,,773.14,20.51,4.21,4.53
2025-07-25,20:02:04,BLR202507-000102,Cancelled by Customer,CUST-223224,Auto,Bommanahalli,Horamavu,,,1,Driver asked to cancel,0,,0,,,,,
2025-07-29,07:26:30,BLR202507-000103,Success,CUST-732789,Bike,Indiranagar,Devanahalli,4,9,0,,0,,0,,51.7,3.67,4.38,4.6
2025-07-22,02:37:15,BLR202507-000104,Cancelled by Customer,CUST-780768,Mini,Sadashivanagar,Brookefield,,,1,Change of plans,0,,0,,,,,
2025-07-28,01:01:49,BLR202507-000105,Success,CUST-145548,eBike,Sadashivanagar,Kadubeesanahalli,3,9,0,,0,,0,,46.65,3.85,4.63,4.31
2025-07-08,14:30:24,BLR202507-000106,Success,CUST-941272,Mini,Devanahalli,CV Raman Nagar,5,18,0,,0,,0,,220,10,4.78,4.46
2025-07-12,18:47:21,BLR202507-000107,Success,CUST-717661,Prime SUV,Manyata Tech Park,Sarjapur,14,23,0,,0,,0,,152.54,2.04,4.43,4.7
2025-07-27,08:25:54,BLR202507-000108,Cancelled by Driver,CUST-830550,Bike,HSR Layout,Kadubeesanahalli,,,0,,1,Customer related issue,0,,,,,
2025-07-09,03:50:43,BLR202507-000109,Cancelled by Customer,CUST-600318,Prime SUV,RT Nagar,Marathahalli,,,1,Change of plans,0,,0,,,,,
2025-07-20,19:55:26,BLR202507-000110,Incomplete,CUST-670143,Mini,Benson Town,Hebbal,,,0,,0,,1,Customer Demand,,,,
2025-07-23,04:54:00,BLR202507-000111,Cancelled by Driver,CUST-879769,Prime SUV,Indiranagar,Nagarbhavi,,,0,,1,Personal & Car related issues,0,,,,,
2025-07-17,14:35:28,BLR202507-000112,Success,CUST-107543,Mini,Kalyan Nagar,Yelahanka,3,12,0,,0,,0,,359.14,17.73,5,4.35
2025-07-23,01:58:34,BLR202507-000113,Success,CUST-943356,Prime Sedan,Brookefield,KR Puram,14,28,0,,0,,0,,573.82,23.81,4.46,4.94
2025-07-04,18:23:23,BLR202507-000114,Success,CUST-262297,Mini,Kalyan Nagar,Kengeri,7,19,0,,0,,0,,150.95,5.07,3.96,4.4
2025-07-09,09:15:07,BLR202507-000115,Success,CUST-373995,Prime SUV,Yeshwanthpur,Kadubeesanahalli,14,23,0,,0,,0,,903.5,24.39,4.64,5
2025-07-19,21:52:32,BLR202507-000116,Success,CUST-483405,Bike,Ulsoor,Mahadevapura,6,12,0,,0,,0,,169.7,15.47,4.24,4.46
2025-07-13,12:37:25,BLR202507-000117,Success,CUST-891645,Prime Plus,Brookefield,Peenya,4,11,0,,0,,0,,520.5,18.42,3.97,5
2025-07-26,23:33:11,BLR202507-000118,Success,CUST-684646,Mini,Malleshwaram,KR Puram,4,13,0,,0,,0,,69.34,1.63,4.97,4.44
2025-07-18,02:20:15,BLR202507-000119,Success,CUST-681866,Mini,Benson Town,Silk Board,3,12,0,,0,,0,,381.82,18.99,4.96,4.47
2025-07-19,12:55:40,BLR202507-000120,Cancelled by Driver,CUST-461083,Prime SUV,Thanisandra,Kundalahalli,,,0,,1,Customer related issue,0,,,,,
2025-07-28,05:39:44,BLR202507-000121,Cancelled by Customer,CUST-791308,Auto,Manyata Tech Park,RT Nagar,,,1,Wrong Address,0,,0,,,,,
2025-07-26,05:00:17,BLR202507-000122,Cancelled by Customer,CUST-833281,Prime Plus,HSR Layout,Yelahanka,,,1,AC is not working (Only for 4-wheelers),0,,0,,,,,
2025-07-13,21:04:40,BLR202507-000123,Success,CUST-924265,Prime Sedan,Peenya,Kanakapura Road,5,10,0,,0,,0,,79.26,1.33,4.59,4.43
2025-07-23,16:41:40,BLR202507-000124,Success,CUST-817817,eBike,Whitefield,Rajajinagar,8,15,0,,0,,0,,236.28,24.92,5,4.71
2025-07-13,03:01:56,BLR202507-000125,Success,CUST-766764,Auto,Marathahalli,Banashankari,12,26,0,,0,,0,,165.98,10.07,4.2,4.37
2025-07-16,09:40:16,BLR202507-000126,Cancelled by Customer,CUST-729402,Mini,Marathahalli,Electronic City,,,1,Change of plans,0,,0,,,,,
2025-07-08,12:31:46,BLR202507-000127,Success,CUST-488848,Auto,Uttarahalli,MG Road,6,11,0,,0,,0,,264.68,17.12,3.89,5
2025-07-24,02:00:39,BLR202507-000128,Success,CUST-502995,Mini,Kanakapura Road,Kalyan Nagar,9,23,0,,0,,0,,273.28,12.96,5,4.57
2025-07-17,08:54:09,BLR202507-000129,Success,CUST-400384,eBike,Uttarahalli,Whitefield,5,8,0,,0,,0,,161.29,14.25,4.4,4.94
2025-07-31,14:57:51,BLR202507-000130,Cancelled by Driver,CUST-911187,Prime SUV,Malleshwaram,Hennur,,,0,,1,More than permitted people in there,0,,,,,
2025-07-15,05:19:58,BLR202507-000131,Success,CUST-111230,Prime Plus,Horamavu,Sadashivanagar,9,18,0,,0,,0,,457.25,15.89,4.11,4.84
2025-07-10,22:35:17,BLR202507-000132,Success,CUST-304206,Auto,Uttarahalli,Shivajinagar,14,20,0,,0,,0,,156.74,9.41,3.81,5
2025-07-17,06:29:46,BLR202507-000133,Success,CUST-832377,Prime Plus,Kanakapura Road,Rajajinagar,5,11,0,,0,,0,,294,9.36,5,4.63
2025-07-22,19:29:33,BLR202507-000134,Cancelled by Customer,CUST-137812,Prime Sedan,Frazer Town,Kalyan Nagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2025-07-06,19:33:10,BLR202507-000135,Success,CUST-191061,Prime Sedan,Devanahalli,Kundalahalli,12,19,0,,0,,0,,506.32,17.74,4.98,4.55
2025-07-12,05:32:43,BLR202507-000136,Success,CUST-802191,Mini,Kundalahalli,Kengeri,6,18,0,,0,,0,,77.8,2.1,3.89,5
2025-07-07,10:09:46,BLR202507-000137,Success,CUST-642892,Auto,Manyata Tech Park,Thanisandra,13,20,0,,0,,0,,241.41,13.89,3.79,5
2025-07-03,06:13:35,BLR202507-000138,Incomplete,CUST-194545,Bike,BTM Layout,Nagawara,,,0,,0,,1,Other Issue,,,,
2025-07-30,06:41:11,BLR202507-000139,Success,CUST-711248,Prime Sedan,Domlur,Ulsoor,6,18,0,,0,,0,,439.84,17.72,4.9,4.52
2025-07-08,09:17:14,BLR202507-000140,Cancelled by Customer,CUST-735818,Prime Plus,Arekere,Kundalahalli,,,1,AC is not working (Only for 4-wheelers),0,,0,,,,,
2025-07-01,19:22:04,BLR202507-000141,Success,CUST-373791,Prime Plus,Brookefield,Shivajinagar,4,18,0,,0,,0,,263.1,6.37,3.99,4.14
2025-07-04,06:24:21,BLR202507-000142,Success,CUST-685766,Auto,Shivajinagar,BTM Layout,7,17,0,,0,,0,,79.6,3.9,3.93,4.53
2025-07-11,14:22:25,BLR202507-000143,Success,CUST-222692,Prime SUV,Shivajinagar,Benson Town,3,17,0,,0,,0,,561.96,17.57,4.22,4.67
2025-07-29,15:27:25,BLR202507-000144,Success,CUST-664032,Prime SUV,Nagarbhavi,Benson Town,13,18,0,,0,,0,,284.2,7.65,4.75,4.87
2025-07-23,14:00:28,BLR202507-000145,Incomplete,CUST-564276,Mini,Nagarbhavi,Bommanahalli,,,0,,0,,1,Customer Demand,,,,
2025-07-25,00:05:02,BLR202507-000146,Success,CUST-456160,Prime SUV,Arekere,Mahadevapura,10,20,0,,0,,0,,256.76,6.67,4.58,5
2025-07-15,04:39:08,BLR202507-000147,Success,CUST-715332,Prime SUV,Koramangala,Bommanahalli,12,24,0,,0,,0,,187.32,4.19,4.85,4.76
2025-07-04,15:27:38,BLR202507-000148,Cancelled by Driver,CUST-370343,Auto,CV Raman Nagar,Hennur,,,0,,1,Customer related issue,0,,,,,
2025-07-22,10:43:58,BLR202507-000149,Success,CUST-835236,Prime Plus,Bellandur,Brookefield,14,20,0,,0,,0,,406.52,11.74,4.18,4.28
2025-07-31,02:51:07,BLR202507-000150,Success,CUST-470248,Bike,Yeshwanthpur,Indiranagar,3,12,0,,0,,0,,102.3,8.73,4.24,4.22
2025-07-23,13:18:35,BLR202507-000151,Success,CUST-972600,Prime Sedan,Frazer Town,BTM Layout,11,16,0,,0,,0,,253.06,9.23,3.63,4.46
2025-07-03,22:49:12,BLR202507-000152,Success,CUST-518309,eBike,Manyata Tech Park,Sarjapur Road,6,10,0,,0,,0,,39.81,3.09,5,4.96
2025-07-03,20:24:39,BLR202507-000153,Success,CUST-681489,Prime Plus,Bommanahalli,Bellandur,10,15,0,,0,,0,,466.13,14.55,4.78,4.5
2025-07-12,13:27:27,BLR202507-000154,Success,CUST-329183,Bike,Ulsoor,Malleshwaram,3,13,0,,0,,0,,144.6,12.96,4.7,4.53
2025-07-31,07:34:45,BLR202507-000155,Success,CUST-882401,eBike,Hebbal,Basavanagudi,6,14,0,,0,,0,,99.93,9.77,4.98,4.59
2025-07-24,21:08:45,BLR202507-000156,Success,CUST-309365,Prime Plus,Manyata Tech Park,Frazer Town,10,21,0,,0,,0,,590.5,21.22,4.57,4.92
2025-07-28,07:59:06,BLR202507-000157,Success,CUST-378297,Prime Plus,RT Nagar,Hebbal,6,16,0,,0,,0,,670,24.4,5,4.57
2025-07-27,14:50:41,BLR202507-000158,Success,CUST-361824,Prime SUV,Kanakapura Road,Domlur,13,25,0,,0,,0,,418.32,12.44,4.33,4.77
2025-07-05,08:21:45,BLR202507-000159,Success,CUST-916776,Auto,Jayanagar,Marathahalli,8,16,0,,0,,0,,209.23,11.21,4.32,4.49
2025-07-22,21:47:57,BLR202507-000160,Cancelled by Customer,CUST-795650,Mini,Kanakapura Road,Indiranagar,,,1,AC is not working (Only for 4-wheelers),0,,0,,,,,
2025-07-31,11:48:53,BLR202507-000161,Success,CUST-144316,Prime SUV,Bommanahalli,KR Puram,7,15,0,,0,,0,,360.64,8.7,4.2,3.85
2025-07-20,22:49:40,BLR202507-000162,Success,CUST-430738,Mini,Nagarbhavi,Ulsoor,9,23,0,,0,,0,,485.68,24.76,4.9,4.4
2025-07-16,02:21:52,BLR202507-000163,Success,CUST-291755,Prime SUV,Shivajinagar,Ulsoor,7,20,0,,0,,0,,609,19.25,4.21,5
2025-07-13,07:23:34,BLR202507-000164,Success,CUST-332881,Prime SUV,Nagarbhavi,JP Nagar,5,10,0,,0,,0,,669.76,21.42,4.28,5
2025-07-02,18:44:04,BLR202507-000165,Cancelled by Customer,CUST-651273,Prime SUV,Kadubeesanahalli,Bommanahalli,,,1,AC is not working (Only for 4-wheelers),0,,0,,,,,
2025-07-02,02:22:47,BLR202507-000166,Success,CUST-626883,Prime Sedan,Kundalahalli,Mahadevapura,13,26,0,,0,,0,,180.24,5.92,4.77,4.53
2025-07-25,10:02:39,BLR202507-000167,Success,CUST-283291,Mini,Jayanagar,Hoodi,8,20,0,,0,,0,,478.01,20.87,4.71,4.77
2025-07-17,04:18:44,BLR202507-000168,Success,CUST-582418,Prime Sedan,Hoodi,Indiranagar,7,14,0,,0,,0,,423.12,16.96,3.62,4.73
2025-07-01,03:54:20,BLR202507-000169,Cancelled by Customer,CUST-806848,Prime Plus,CV Raman Nagar,Kengeri,,,1,Driver is not moving towards pickup location,0,,0,,,,,
